09_Настройки
"Справочники типов, цветов и коэффициентов."

Тип,Группа,Цвет HEX,Показывать в сборке,Комментарий
Коктейль,Позиция меню,#DBEAFE,TRUE,Готовая подача
Шот,Позиция меню,#EDE9FE,TRUE,Готовая подача
Настойка,Позиция меню / техкарта,#FFEDD5,TRUE,"Может быть и подачей, и заготовкой"
Пребэтч,Заготовка,#DCFCE7,FALSE,Смешанный полуфабрикат
Сироп,Заготовка,#FEF3C7,FALSE,Технологическая карта
Кордиал,Заготовка,#FCE7F3,FALSE,Технологическая карта
Лимонад,Заготовка,#CCFBF1,FALSE,Технологическая карта
Тоник/содовая,Заготовка,#E0F2FE,FALSE,Технологическая карта
Гарнир,Заготовка,#E2E8F0,FALSE,Технологическая карта
Сырьё,Закупка,#F8FAFC,FALSE,Покупная позиция

Коэффициент доп. трудоёмкости за каждый дополнительный целый x1,0.2
Формула трудоёмкости,База × (1 + 20% × MAX(0; INT(коэф.) - 1))
