ID,Рецепт,Тип рецепта,Ингредиент,Тип ингредиента,Кол-во,Ед.,Комментарий,Старый тип,Источник
1,Сприцы,Коктейль,Игристое,Сырьё,90,мл,,алко,Лист4!строка 5
2,Сприцы,Коктейль,Аперитивы,Сырьё,60,мл,,алко,Лист4!строка 6
3,Сприцы,Коктейль,Содовая,Сырьё,,мл,топом,,Лист4!строка 7
4,Мохито,Коктейль,Сироп мохито,Сырьё,35,мл,,покупное,Лист4!строка 8
5,Мохито,Коктейль,Ром,Сырьё,40,мл,,алко,Лист4!строка 9
6,Мохито,Коктейль,Сок лимона,Сырьё,15,мл,,Лимон,Лист4!строка 10
7,Мохито,Коктейль,Мята,Сырьё,10,шт/веточка,,,Лист4!строка 11
8,Мохито,Коктейль,Содовая,Сырьё,,мл,топом,покупное,Лист4!строка 12
9,Клубничная ночь,Коктейль,Джин,Сырьё,40,мл,,алко,Лист4!строка 13
10,Клубничная ночь,Коктейль,Сок лимона,Сырьё,20,мл,,Лимон,Лист4!строка 14
11,Клубничная ночь,Коктейль,Содовая,Сырьё,,мл,топом,покупное,Лист4!строка 15
12,Клубничная ночь,Коктейль,Клубничный сироп,Заготовка,20,мл,,пребэч,Лист4!строка 16
13,Арбуз и маракуйя,Коктейль,Пюре маракуйи,Заготовка,30,мл,,пребэч,Лист4!строка 17
14,Арбуз и маракуйя,Коктейль,Сок лимона,Сырьё,15,мл,,Лимон,Лист4!строка 18
15,Арбуз и маракуйя,Коктейль,Красный базилик,Сырьё,2,шт/веточка,,покупное,Лист4!строка 19
16,Арбуз и маракуйя,Коктейль,Арбузный лимонад,Сырьё,50,мл,,покупное,Лист4!строка 20
17,Арбуз и укроп,Коктейль,Джин,Сырьё,35,мл,,алко,Лист4!строка 21
18,Арбуз и укроп,Коктейль,Шисо кордиал,Заготовка,25,мл,,пребэч,Лист4!строка 22
19,Арбуз и укроп,Коктейль,Грушевая водка,Сырьё,15,мл,,алко,Лист4!строка 23
20,Арбуз и укроп,Коктейль,Сухой вермут,Сырьё,30,мл,,алко,Лист4!строка 24
21,Арбуз и укроп,Коктейль,Укроп,Сырьё,2,шт/веточка,,покупное,Лист4!строка 25
22,Арбуз и укроп,Коктейль,Арбузный лимонад,Сырьё,,мл,топом,покупное,Лист4!строка 26
23,Бэзил смэш,Коктейль,Сок лимона,Сырьё,20,мл,,Лимон,Лист4!строка 27
24,Бэзил смэш,Коктейль,Джин,Сырьё,40,мл,,алко,Лист4!строка 28
25,Бэзил смэш,Коктейль,Сахарный сироп,Сырьё,20,мл,,Сахар,Лист4!строка 29
26,Бэзил смэш,Коктейль,Базилик,Сырьё,3,шт/веточка,,покупное,Лист4!строка 30
27,Беллини,Коктейль,Игристое,Сырьё,100,мл,,алко,Лист4!строка 31
28,Беллини,Коктейль,Пюре из персиков,Заготовка,50,мл,,пребэч,Лист4!строка 32
29,Брекфаст мартини,Коктейль,Джин,Сырьё,50,мл,,алко,Лист4!строка 33
30,Брекфаст мартини,Коктейль,Трипл сек,Сырьё,15,мл,,алко,Лист4!строка 34
31,Брекфаст мартини,Коктейль,Сок лимона,Сырьё,15,мл,,Лимон,Лист4!строка 35
32,Брекфаст мартини,Коктейль,Мармелад,Заготовка,1,,,пребэч,Лист4!строка 36
33,COSMOPOLITAN,Коктейль,Пребэч,Заготовка,60,,,пребэч,Лист4!строка 37
34,COSMOPOLITAN,Коктейль,Сок лимона,Сырьё,20,мл,,Лимон,Лист4!строка 38
35,COSMOPOLITAN,Коктейль,Трипл сек,Сырьё,10,мл,,алко,Лист4!строка 39
36,COSMOPOLITAN,Коктейль,Клюквенный морс,Сырьё,20,мл,,покупное,Лист4!строка 40
37,Баблгам 4,Коктейль,Джин эстрагоновый,Сырьё,40,мл,,алко,Лист4!строка 41
38,Баблгам 4,Коктейль,Бабл гам,Заготовка,20,,,пребэч,Лист4!строка 42
