Рецепт,Тип рецепта,Ингредиент,Тип ингредиента,Кол-во в рецепте,Ед.,Кол-во выпуск,Итого нужно,Комментарий
Сприцы,Коктейль,Игристое,Сырьё,90,мл,0,0,
Сприцы,Коктейль,Аперитивы,Сырьё,60,мл,0,0,
Сприцы,Коктейль,Содовая,Сырьё,,мл,0,,топом
Мохито,Коктейль,Сироп мохито,Сырьё,35,мл,0,0,
Мохито,Коктейль,Ром,Сырьё,40,мл,0,0,
Мохито,Коктейль,Сок лимона,Сырьё,15,мл,0,0,
Мохито,Коктейль,Мята,Сырьё,10,шт/веточка,0,0,
Мохито,Коктейль,Содовая,Сырьё,,мл,0,,топом
Клубничная ночь,Коктейль,Джин,Сырьё,40,мл,0,0,
Клубничная ночь,Коктейль,Сок лимона,Сырьё,20,мл,0,0,
Клубничная ночь,Коктейль,Содовая,Сырьё,,мл,0,,топом
Клубничная ночь,Коктейль,Клубничный сироп,Заготовка,20,мл,0,0,
Арбуз и маракуйя,Коктейль,Пюре маракуйи,Заготовка,30,мл,0,0,
Арбуз и маракуйя,Коктейль,Сок лимона,Сырьё,15,мл,0,0,
Арбуз и маракуйя,Коктейль,Красный базилик,Сырьё,2,шт/веточка,0,0,
Арбуз и маракуйя,Коктейль,Арбузный лимонад,Сырьё,50,мл,0,0,
Арбуз и укроп,Коктейль,Джин,Сырьё,35,мл,0,0,
Арбуз и укроп,Коктейль,Шисо кордиал,Заготовка,25,мл,0,0,
Арбуз и укроп,Коктейль,Грушевая водка,Сырьё,15,мл,0,0,
Арбуз и укроп,Коктейль,Сухой вермут,Сырьё,30,мл,0,0,
Арбуз и укроп,Коктейль,Укроп,Сырьё,2,шт/веточка,0,0,
Арбуз и укроп,Коктейль,Арбузный лимонад,Сырьё,,мл,0,,топом
Бэзил смэш,Коктейль,Сок лимона,Сырьё,20,мл,0,0,
Бэзил смэш,Коктейль,Джин,Сырьё,40,мл,0,0,
Бэзил смэш,Коктейль,Сахарный сироп,Сырьё,20,мл,0,0,
Бэзил смэш,Коктейль,Базилик,Сырьё,3,шт/веточка,0,0,
Беллини,Коктейль,Игристое,Сырьё,100,мл,0,0,
Беллини,Коктейль,Пюре из персиков,Заготовка,50,мл,0,0,
Брекфаст мартини,Коктейль,Джин,Сырьё,50,мл,0,0,
Брекфаст мартини,Коктейль,Трипл сек,Сырьё,15,мл,0,0,
Брекфаст мартини,Коктейль,Сок лимона,Сырьё,15,мл,0,0,
Брекфаст мартини,Коктейль,Мармелад,Заготовка,1,,0,0,
COSMOPOLITAN,Коктейль,Пребэч,Заготовка,60,,0,0,
COSMOPOLITAN,Коктейль,Сок лимона,Сырьё,20,мл,0,0,
COSMOPOLITAN,Коктейль,Трипл сек,Сырьё,10,мл,0,0,
COSMOPOLITAN,Коктейль,Клюквенный морс,Сырьё,20,мл,0,0,
Баблгам 4,Коктейль,Джин эстрагоновый,Сырьё,40,мл,0,0,
Баблгам 4,Коктейль,Бабл гам,Заготовка,20,,0,0,
Баблгам 4,Коктейль,Сухой вермут,Сырьё,15,мл,0,0,
Баблгам 4,Коктейль,Сок лимона,Сырьё,10,мл,0,0,
Баблгам 4,Коктейль,Трипл сек,Сырьё,5,мл,0,0,
Баблгам 5,Коктейль,Джин,Сырьё,30,мл,0,0,
Баблгам 5,Коктейль,Бабл гам,Заготовка,30,,0,0,
Баблгам 5,Коктейль,Сладкий вермут,Сырьё,15,мл,0,0,
Баблгам 5,Коктейль,Пюре из персиков,Заготовка,10,мл,0,0,
Баблгам 5,Коктейль,Сок лимона,Сырьё,5,мл,0,0,
Баблгам 1,Коктейль,Бабл гам,Заготовка,30,,0,0,
Баблгам 1,Коктейль,Сок лимона,Сырьё,20,мл,0,0,
Баблгам 1,Коктейль,Содовая,Сырьё,60,мл,0,0,
Шот 1,Шот,Грушевая водка,Сырьё,30,мл,0,0,
Шот 1,Шот,Сок лимона,Сырьё,10,мл,0,0,
Шот 1,Шот,Маринованный виноград,Сырьё,2,,0,0,
Шот 1,Шот,Амаретто,Сырьё,30,мл,0,0,
Форест гамп,Шот,Щавелевый кордиал,Заготовка,15,мл,0,0,
Форест гамп,Шот,Водка,Сырьё,20,мл,0,0,
Форест гамп,Шот,Сахарный сироп,Сырьё,10,мл,0,0,
Шот 3,Шот,Ванильная водка,Сырьё,40,мл,0,0,
Шот 3,Шот,Сок лимона,Сырьё,30,мл,0,0,
Шот 3,Шот,Сладкий вермут,Сырьё,30,мл,0,0,
Шот 3,Шот,Сахарный сироп,Сырьё,15,мл,0,0,
Шот 4,Шот,Клубничный джин,Сырьё,40,мл,0,0,
Шот 4,Шот,Сок лимона,Сырьё,10,мл,0,0,
Шот 4,Шот,Сок лайма,Сырьё,10,мл,0,0,
Шот 4,Шот,Сахарный сироп,Сырьё,20,мл,0,0,
ШОТ 5,Шот,Ванильная водка,Сырьё,20,мл,0,0,
ШОТ 5,Шот,Сок лимона,Сырьё,15,мл,0,0,
ШОТ 5,Шот,Мята,Сырьё,2,шт/веточка,0,0,
ШОТ 5,Шот,Медовый сироп,Сырьё,10,мл,0,0,
ШОТ 5,Шот,Грушевая водка,Сырьё,20,мл,0,0,
Настойка клубника каркаде,Настойка,Каркаде,Сырьё,5,г,0,0,
Настойка клубника каркаде,Настойка,Вода,Сырьё,150,мл,0,0,
Настойка клубника каркаде,Настойка,Клубника,Сырьё,200,г,0,0,
Настойка клубника каркаде,Настойка,Сахар,Сырьё,40,г,0,0,
Настойка клубника каркаде,Настойка,Водка,Сырьё,350,мл,0,0,
Настойка киви-мята,Настойка,Мята,Сырьё,10,шт/веточка,0,0,
Настойка киви-мята,Настойка,Водка,Сырьё,500,мл,0,0,
Настойка киви-мята,Настойка,Киви,Сырьё,50,г,0,0,
Настойка киви-мята,Настойка,Сахар,Сырьё,50,г,0,0,
Настойка улун-малина,Настойка,Улун,Сырьё,4,г,0,0,
Настойка улун-малина,Настойка,Вода,Сырьё,250,мл,0,0,
Настойка улун-малина,Настойка,Малина,Сырьё,180,г,0,0,
Настойка улун-малина,Настойка,Сахар,Сырьё,35,г,0,0,
Настойка улун-малина,Настойка,Водка,Сырьё,400,мл,0,0,
Настойка клубника корица,Настойка,Клубника,Сырьё,100,г,0,0,
Настойка клубника корица,Настойка,Водка,Сырьё,250,мл,0,0,
Настойка клубника корица,Настойка,Сахар,Сырьё,50,г,0,0,
Настойка клубника корица,Настойка,Корица,Сырьё,3,г,0,0,
Настойка клубника корица,Настойка,Вода,Сырьё,250,мл,0,0,
Настойка клубника корица,Настойка,Раствор яблочной к-ты,Сырьё,30,мл,0,0,
