Заготовка,Ингредиент,Тип ингредиента,Кол-во в рецепте,Ед.,Коэф. партий,Итого нужно,Комментарий
Содовая 1,Молочный улун,Сырьё,10,г,0,0,
Содовая 1,Вода,Сырьё,1000,мл,0,0,
Содовая 1,Дынный аром-р,Сырьё,2.5,мл,0,0,
Содовая 1,Соль,Сырьё,0.3,г,0,0,
Содовая 1,Аскорбиновая к-та,Сырьё,1.5,г,0,0,
Клубничный сироп,Клубника,Сырьё,140,г,0,0,
Клубничный сироп,Мёд,Сырьё,140,г,0,0,
Пюре маракуйи,Маракуйя,Сырьё,1000,г,0,0,
Пюре маракуйи,Сахар,Сырьё,,г,0,,250-400
Пюре маракуйи,Вода,Сырьё,,мл,0,,250-400
Шисо кордиал,Шисо листья,Сырьё,25,,0,0,
Шисо кордиал,Сахарный сироп,Сырьё,400,мл,0,0,
Шисо кордиал,Раствор яблочной к-ты,Сырьё,600,мл,0,0,
Мармелад,Красные апельсины,Сырьё,500,г,0,0,
Мармелад,Лемонграсс,Сырьё,50,г,0,0,
Мармелад,Севен Ап,Сырьё,500,мл,0,0,
Мармелад,Сахар,Сырьё,300,г,0,0,
Мармелад,Лимонная к-та,Сырьё,1,г,0,0,
Пребэч,Пилы лайма,Сырьё,3,шт,0,0,
Пребэч,Пилы апельсина,Сырьё,4,шт,0,0,
Пребэч,Пилы грейпфрута,Сырьё,2,шт,0,0,
Пребэч,Малина,Сырьё,100,г,0,0,
Пребэч,Джин,Сырьё,100,мл,0,0,
Пребэч,Водка,Сырьё,100,мл,0,0,
Пребэч,Клюквенный ликёр,Сырьё,120,мл,0,0,
Пребэч,Лемонграсс,Сырьё,1,г,0,0,
Щавелевый кордиал,Щавель,Сырьё,150,г,0,0,
Щавелевый кордиал,Молочная к-та,Сырьё,10,г,0,0,
Щавелевый кордиал,Яблочная к-та,Сырьё,10,г,0,0,
Щавелевый кордиал,Вода,Сырьё,500,мл,0,0,
Бабл гам,Клубника,Сырьё,170,г,0,0,
Бабл гам,Сахар,Сырьё,170,г,0,0,
Бабл гам,Вода,Сырьё,170,мл,0,0,
Бабл гам,Ваниль,Сырьё,46082,г,0,0,
Бабл гам,Гвоздика,Сырьё,15,г,0,0,
Бабл гам,Розовый перец,Сырьё,0.8,г,0,0,
Бабл гам,Кизиловый концентрат,Сырьё,2,г,0,0,
Бабл гам,Банановое олео,Сырьё,100,мл,0,0,
Бабл гам,Водка,Сырьё,25,мл,0,0,
Пюре из персиков,Нектарины,Сырьё,300,г,0,0,
Пюре из персиков,Сахарный сироп,Сырьё,100,мл,0,0,
Пюре из персиков,Раствор молочной к-ты,Сырьё,60,мл,0,0,
Пюре из персиков,Апельсиновая вода,Сырьё,10,мл,0,0,
Пюре из персиков,Черёмуховая вода,Сырьё,10,мл,0,0,
Пюре из персиков,Ром/водка,Сырьё,30,мл,0,0,
